,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
53,Panasonic RPHT030ES Monitor Headphones - Silver,,,"[{'info': 'Product Dimensions', 'value': '9.06 x 3.9 x 3.15 inches'}, {'info': 'Item Weight', 'value': '2.12 ounces'}, {'info': 'ASIN', 'value': 'B00009LHI6'}, {'info': 'Item model number', 'value': 'RPHT030ES'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 1,874 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#55,408 in Audio Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'March 15, 2013'}, {'info': 'Manufacturer', 'value': 'Panasonic'}]",,,,,
54,,,,,,,,,
55,"Wireless Earbuds Sports, in-Ear Bluetooth Headphones Waterproof 100H Playtime Earhooks Headset Stereo CVC8.0 Noise Cancelling Wireless Earphone with Charging Case for Workout Running Gym",,,"[{'info': 'Product Dimensions', 'value': '0.39 x 0.79 x 0.39 inches'}, {'info': 'Item Weight', 'value': '0.176 ounces'}, {'info': 'ASIN', 'value': 'B08K91F1M4'}, {'info': 'Item model number', 'value': 'Q22'}, {'info': 'Batteries', 'value': '2 Lithium Metal batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.1 out of 5 stars 3,368 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.1 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#16 in Over-Ear Headphones #87 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'October 16, 2020'}, {'info': 'Department', 'value': 'Boys'}, {'info': 'Manufacturer', 'value': 'Basstop'}]",Chstarina,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2WWMIOVX0USDY&isAmazonFulfilled=1,,,/Wireless-Bluetooth-Headphones-Waterproof-Cancelling/product-reviews/B08K91F1M4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,"Bluetooth Headphones, OneOdio A11 Wireless Over Ear Headphones with Bass Up EQ Mode HiFi Stereo Sound CVC8.0 Microphone Headphones Compatible for Travel, Home Office Foldable Comfortable",,,"[{'info': 'Product Dimensions', 'value': '7.87 x 7.87 x 2.76 inches'}, {'info': 'Item Weight', 'value': '14.9 ounces'}, {'info': 'ASIN', 'value': 'B085M31H37'}, {'info': 'Item model number', 'value': 'A11'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 368 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#404 in Over-Ear Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'January 22, 2021'}, {'info': 'Manufacturer', 'value': 'OneOdio'}]",DIRONE,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3RJJJRIEAYNLE&isAmazonFulfilled=1,,,/Bluetooth-Headphones-Microphone-Compatible-Comfortable/product-reviews/B085M31H37/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
61,,,,,,,,,
62,,,,,,,,,
